Dataset,Best Chunk Percentage,Chunk 1 Percentage,Chunk 2 Percentage,Chunk 3 Percentage
MACHINE LEARNING,90.9090909090909,54.54545454545454,100.0,45.45454545454545
MACHINE LEARNING,90.47619047619048,28.57142857142857,33.33333333333333,23.809523809523807
MACHINE LEARNING,83.33333333333334,25.0,33.33333333333333,41.66666666666667
MACHINE LEARNING,45.45454545454545,54.54545454545454,45.45454545454545,54.54545454545454
MACHINE LEARNING,42.857142857142854,21.428571428571427,28.57142857142857,28.57142857142857
MACHINE LEARNING,100.0,15.0,30.0,35.0
MACHINE LEARNING,29.629629629629626,7.4074074074074066,18.51851851851852,18.51851851851852
MACHINE LEARNING,28.57142857142857,26.785714285714285,14.285714285714285,19.642857142857142
CLASSICAL MECHANICS,77.27272727272727,31.818181818181817,27.27272727272727,22.727272727272727
CLASSICAL MECHANICS,25.0,12.5,12.5,29.166666666666668
CLASSICAL MECHANICS,57.14285714285714,32.142857142857146,17.857142857142858,25.0
CLASSICAL MECHANICS,65.57377049180327,22.950819672131146,68.85245901639344,29.508196721311474
CLASSICAL MECHANICS,80.0,26.153846153846157,32.30769230769231,24.615384615384617
CLASSICAL MECHANICS,40.50632911392405,31.645569620253166,6.329113924050633,30.37974683544304
CLASSICAL MECHANICS,27.692307692307693,26.153846153846157,23.076923076923077,13.846153846153847
CLASSICAL MECHANICS,85.71428571428571,17.142857142857142,31.428571428571427,28.57142857142857
CLASSICAL MECHANICS,64.51612903225806,29.03225806451613,41.935483870967744,67.74193548387096
CLASSICAL MECHANICS,53.84615384615385,61.53846153846154,28.205128205128204,20.51282051282051
CLASSICAL MECHANICS,35.55555555555556,28.888888888888886,20.0,31.11111111111111
CLASSICAL MECHANICS,31.25,52.083333333333336,91.66666666666666,22.916666666666664
CLASSICAL MECHANICS,60.97560975609756,21.951219512195124,24.390243902439025,14.634146341463413
CLASSICAL MECHANICS,74.50980392156863,21.568627450980394,31.372549019607842,23.52941176470588
CLASSICAL MECHANICS,15.789473684210526,15.789473684210526,15.789473684210526,22.807017543859647
CLASSICAL MECHANICS,10.204081632653061,16.3265306122449,18.367346938775512,10.204081632653061
CLASSICAL MECHANICS,38.88888888888889,33.33333333333333,27.77777777777778,94.44444444444444
CLASSICAL MECHANICS,10.0,25.0,82.5,12.5
CLASSICAL MECHANICS,11.627906976744185,16.27906976744186,20.930232558139537,25.581395348837212
CLASSICAL MECHANICS,28.846153846153843,75.0,53.84615384615385,15.384615384615385
CLASSICAL MECHANICS,47.82608695652174,39.130434782608695,17.391304347826086,43.47826086956522
CLASSICAL MECHANICS,33.33333333333333,20.833333333333336,14.583333333333334,25.0
ALGEBRAIC GEOMETRY,54.166666666666664,62.5,41.66666666666667,25.0
ALGEBRAIC GEOMETRY,75.0,87.5,37.5,62.5
ALGEBRAIC GEOMETRY,40.909090909090914,27.27272727272727,18.181818181818183,22.727272727272727
ALGEBRAIC GEOMETRY,19.444444444444446,22.22222222222222,19.444444444444446,16.666666666666664
ALGEBRAIC GEOMETRY,38.46153846153847,26.923076923076923,26.923076923076923,34.61538461538461
ALGEBRAIC GEOMETRY,50.0,34.375,28.125,25.0
ALGEBRAIC GEOMETRY,37.5,6.25,31.25,31.25
ALGEBRAIC GEOMETRY,37.03703703703704,25.925925925925924,22.22222222222222,37.03703703703704
ALGEBRAIC GEOMETRY,21.27659574468085,31.914893617021278,21.27659574468085,25.53191489361702
ALGEBRAIC GEOMETRY,23.076923076923077,19.230769230769234,26.923076923076923,15.384615384615385
ALGEBRAIC GEOMETRY,25.0,22.22222222222222,13.88888888888889,25.0
ALGEBRAIC GEOMETRY,77.27272727272727,54.54545454545454,68.18181818181817,40.909090909090914
ALGEBRAIC GEOMETRY,57.57575757575758,6.0606060606060606,15.151515151515152,24.242424242424242
ALGEBRAIC GEOMETRY,75.0,100.0,58.333333333333336,66.66666666666666
ALGEBRAIC GEOMETRY,28.57142857142857,28.57142857142857,22.448979591836736,18.367346938775512
ALGEBRAIC GEOMETRY,26.190476190476193,28.57142857142857,33.33333333333333,30.952380952380953
ALGEBRAIC GEOMETRY,50.0,19.230769230769234,15.384615384615385,15.384615384615385
ALGEBRAIC GEOMETRY,31.914893617021278,55.319148936170215,25.53191489361702,4.25531914893617
CHEMISTRY,80.0,36.0,40.0,28.000000000000004
CHEMISTRY,13.88888888888889,16.666666666666664,25.0,25.0
CHEMISTRY,41.66666666666667,45.83333333333333,45.83333333333333,100.0
CHEMISTRY,54.54545454545454,72.72727272727273,27.27272727272727,0.0
CHEMISTRY,52.38095238095239,33.33333333333333,100.0,14.285714285714285